"PK_INVENTAR";"INVENTAR";"ANSCHAFFUNGSDATUM";"ANSCHAFFUNGSJAHR";"ABSCHREIBUNGSDAUER";"RESTBUCHWERT_2018";"CREATED_BY";"CREATED_AT";"MODIFIED_BY";"MODIFIED_AT";"PREIS_NETTO";"MWST";"FK_STEUERSATZ";"PREIS_BRUTTO";"COMM";"LIZENZNUMMER";"ANFORDERUNGSCODE";"FK_INVENTARTYP";"KFZ_KENNZEICHEN";"FAHRGESTELLNR";"BEMERKUNGEN";"BILD";"ABGANGSJAHR";"ABGANGSDATUM";"ABGANGSWERT";"FK_VERWENDUNGSZWECK";"GWG";"RESTBUCHWERT_2017";"ABGANGSGRUND";"MAC_ADRESSE";"SERIENNUMMER";"GERÄTENAME";"OK";"OK_BEMERKUNGEN";"RESTBUCHWERT_2019";"INV_BILD";"INVENTARTYP";"PK_IMP_BA_ELEKTRONIK";"BEZEICHNUNG";"GWG_YN";"BEL_OLD_ART";"BEL_OLD_FK_IMP_BA_BEL";"BEL_OLD_PK_IMP_BA_ALLG_BEL";"BEL_OLD_BEZEICHNUNG";"BEL_OLD_KENNZEICHEN";"BEL_OLD_DATUM";"BEL_OLD_DATUM_VERGEHEN";"BEL_OLD_FK_ARBEITSTAG";"BEL_OLD_FK_BUCHUNG";"BEL_OLD_BETRAG";"BEL_OLD_WÄHRUNG";"BEL_OLD_STEUERSATZ";"BEL_OLD_MWST_BETRAG";"BEL_OLD_NETTO";"BEL_OLD_ZAHLUNGSART";"BEL_OLD_BILD";"BEL_OLD_BILD1";"BEL_OLD_VERWENDUNGSZWECK";"BEL_OLD_FK_INVENTAR";"BEL_OLD_FK_PROJEKT";"BEL_OLD_WÄHRUNG_BETRAG";"BEL_OLD_FK_KATEGORIE";"BEL_OLD_KATEGORIE";"BEL_OLD_PROJEKT";"BEL_OLD_INVENTAR";"BEL_OLD_FK_BELEG_ABLAGE"
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";818;20;"Auto Riedel, Elterleiner Str. 13-15, 08340 Schwarzenberg";"M-RO 2947";"09.11.2018";"";;1570;"16,9";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"";17;;"";;"";"";"Renault Master - Weiß ";"2018 / Ordner 1 / Seite 2"
16;"Audi A4";29.08.18 16:33:06,000000000;2018;;;"";;"";;;;;24000;"";"";"";2;"M-R7408";"";"Zulassungsbescheinigung: M-K-O-241/18-00132
Erstzulassung: 10.11.2016
Schlüsselnr: 0588
WAUZZZF43HA08673
Zulassung: 29.08.2018
BFUOO312-4
EURO6";"";9999;31.12.99 06:33:05,158000000;;2;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";1480;21;"Reifen-Center GmbH K&K, Weidachstr. 8, 85609 Aschheim";"M-R 7408";"02.01.2019 08:57";"";;;"150";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"";16;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";1481;22;"Atu, Permoser STr. 90, 85057 Ingolstadt";"M-ZO 523";"21.12.2017 08:01";"";;;"109,49";"";"19";"";"";"Barzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";1482;23;"Emigholz GmbH, Utbremer Str. 27, 28217 Bremen";"M-RO 2947";"14.09.2018 11:00";"";;;"189,15";"";"19";"";"";"Barzahlung";(BLOB);(BLOB);"";17;;"";;"";"";"Renault Master - Weiß ";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";1483;24;"Atu, Triebstrasse 39, 80993 München";"M-ZO 523";"06.07.2018 10:46";"";;609;"251,23";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"AUTOERSATZTEILE";1484;25;"Conrad ,München";"M-RO 2947";"06.08.2018 14:57";"";585;970;"160,42";"";"19";"";"";"Kartenzahlung";(BLOB);(BLOB);"Einrichtung Bus, Elektro";17;;"";;"";"";"Renault Master - Weiß ";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"BUSSGELDER";819;1;"Frankfurt am Main";"M-ZO 523";"12.02.2018";"";;295;"35";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"BUSSGELDER";820;2;"MŸnchen, ZentrallŠnderstr. 30 ggŸb., Parken im Halteverbot";"M-RO 2947";"18.08.2018 15:35 - 15:40";"";597;1418;"15";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"";17;;"";;"";"";"Renault Master - Weiß ";""
17;"Renault Master - Weiß ";30.07.18 16:31:29,000000000;2018;;;"";;"";;;;;16900;"Master weiß 722136";"";"";2;"M-RO2947";"";"Zulassungsbescheinigung: M-K-O-211/18-00259
Erstzulassung: 28.06.2016
Schlüsselnr: 3333
VF1MAF4SC55722136
Zulassung: 30.07.2018
Euro 5
AXK05438-4";"";9999;31.12.99 06:33:05,158000000;;1;2;;"";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"BUSSGELDER";821;3;"Heinrich-Focke-Str. 28195 Bremen";"M-RO 2947";"10.10.2018";"10/10/2018 9:00 - 10/10/2018 9:24";;;"0";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"";17;;"";;"";"";"Renault Master - Weiß ";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"BUSSGELDER";822;4;"MŸnchen, Landshuter Allee 148";"M-ZO 523";"05.12.2017 22:12 Uhr";"";;337;"25";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"BUSSGELDER";823;5;"Rotselaar";"M-ZO 523";"18.05.2018 21:57";"17.06.2018";;1197;"53";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"BUSSGELDER";824;6;"61389 Schmitten, Gro§er Feldberg, Busparkplatz";"M-ZO 523";"06.05.2018 11:17 Uhr";"";;57;"10";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"BUSSGELDER";825;7;"Unterfšhring, A99 Ri. AK SŸd (A 8), Abschnitt 430, km 3150 - 5820";"M-ZO 523";"06.04.2018 23:56 Uhr";"";;761;"148,5";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
5;"Audi A4";;2011;;0;"";;"";;;;;;"";"";"";2;"M-ZO 523";"";"Abmeldung am 29.08.2018 mit einem Kilometerstand von 227.730 km ";"";2018;29.07.18 17:05:33,000000000;4000;2;2;;"Verkauf";"";"";"";"";"";;(BLOB);"Auto";;"";"Inventar";"BUSSGELDER";826;8;"Pyrbaum A9, Richtung MŸnchen, Abschnitt 700, km 5.77";"M-ZO 523";"04.07.2018 21:23 Uhr";"24.07.2018";;760;"20";"";"";"";"";"Kartenzahlung";(BLOB);(BLOB);"";5;;"";;"";"";"Audi A4";""
